year,season_type,week,home_team,away_team,home_rank,away_rank,home_score,away_score,winner,loser,winner_rank,loser_rank,rank_delta,higher_rank_won,neutral_site
2000,postseason,1,Miami,Florida,2,10,37,20,Miami,Florida,2,10,8,True,True
2000,postseason,1,Oklahoma,Florida State,1,5,13,2,Oklahoma,Florida State,1,5,4,True,True
2001,regular,2,Alabama,UCLA,25,17,17,20,UCLA,Alabama,17,25,8,True,False
2001,regular,2,Oregon,Wisconsin,7,22,31,28,Oregon,Wisconsin,7,22,15,True,False
2001,regular,3,Wisconsin,Fresno State,23,19,20,32,Fresno State,Wisconsin,19,23,4,True,False
2001,regular,3,Washington,Michigan,15,11,23,18,Washington,Michigan,15,11,4,False,False
2001,regular,3,Georgia,South Carolina,25,21,9,14,South Carolina,Georgia,21,25,4,True,False
2001,regular,3,Nebraska,Notre Dame,5,17,27,10,Nebraska,Notre Dame,5,17,12,True,False
2001,regular,6,Oklahoma,Kansas State,3,11,38,37,Oklahoma,Kansas State,3,11,8,True,False
2001,regular,6,Northwestern,Michigan State,16,23,27,26,Northwestern,Michigan State,16,23,7,True,False
2001,regular,6,Florida,Mississippi State,2,21,52,0,Florida,Mississippi State,2,21,19,True,False
2001,regular,6,Oregon State,UCLA,19,12,7,38,UCLA,Oregon State,12,19,7,True,False
2001,regular,6,Michigan,Illinois,17,22,45,20,Michigan,Illinois,17,22,5,True,False
2001,regular,6,Tennessee,LSU,7,14,26,18,Tennessee,LSU,7,14,7,True,False
2001,regular,7,LSU,Florida,18,2,15,44,Florida,LSU,2,18,16,True,False
2001,regular,7,Texas,Oklahoma,5,3,3,14,Oklahoma,Texas,3,5,2,True,False
2001,regular,8,Georgia Tech,Maryland,15,22,17,20,Maryland,Georgia Tech,22,15,7,False,False
2001,regular,8,Florida State,Miami,14,2,27,49,Miami,Florida State,2,14,12,True,False
2001,regular,8,Michigan,Purdue,12,17,24,10,Michigan,Purdue,12,17,5,True,False
2001,regular,8,Colorado,Texas A&M,20,25,31,21,Colorado,Texas A&M,20,25,5,True,False
2001,regular,8,UCLA,Washington,7,10,35,13,UCLA,Washington,7,10,3,True,False
2001,regular,10,Nebraska,Oklahoma,3,2,20,10,Nebraska,Oklahoma,3,2,1,False,False
2001,regular,10,Florida,Georgia,6,15,24,10,Florida,Georgia,6,15,9,True,False
2001,regular,10,Stanford,UCLA,20,4,38,28,Stanford,UCLA,20,4,16,False,False
2001,regular,10,Florida State,Maryland,19,10,52,31,Florida State,Maryland,19,10,9,False,False
2001,regular,10,Tennessee,South Carolina,9,12,17,10,Tennessee,South Carolina,9,12,3,True,False
2001,regular,10,Washington State,Oregon,14,11,17,24,Oregon,Washington State,11,14,3,True,False
2001,regular,11,Georgia Tech,North Carolina,23,22,28,21,Georgia Tech,North Carolina,23,22,1,False,False
