season,team,pick,pfr_player_name,position,hof,probowls,seasons_started,w_av,dr_av,games,active,bust_a,bust_b,bust_c,triple_bust,clean_hit
1984,TEN,2,Dean Steinkuhler,T,False,0,5,36,36,100,0,1,0,0,0,0
1984,NYG,3,Carl Banks,LB,False,1,10,68,52,173,0,0,0,0,0,1
1984,PHI,4,Kenny Jackson,WR,False,0,4,15,15,102,0,1,1,0,0,0
1984,KC,5,Bill Maas,NT,False,2,8,52,51,130,0,0,0,0,0,1
1984,LAC,6,Mossy Cade,DB,False,0,1,8,0,30,0,1,1,1,1,0
1984,CIN,7,Ricky Hunley,LB,False,0,2,18,0,91,0,1,1,1,1,0
1984,IND,8,Leonard Coleman,DB,False,0,1,9,7,49,0,1,1,1,1,0
1984,ATL,9,Rick Bryan,DE,False,0,6,37,37,109,0,1,0,0,0,0
1984,NYJ,10,Russell Carter,DB,False,0,3,16,12,64,0,1,1,1,1,0
1984,CHI,11,Wilber Marshall,LB,False,3,10,99,37,179,0,0,0,0,0,1
1984,GB,12,Alphonso Carreker,DE,False,0,6,36,27,94,0,1,0,0,0,0
1984,MIN,13,Keith Millard,DT,False,2,4,59,55,93,0,0,0,0,0,1
1984,MIA,14,Jackie Shipp,LB,False,0,3,18,17,74,0,1,1,1,1,0
1984,NYJ,15,Ron Faurot,DE,False,0,1,6,6,20,0,1,1,1,1,0
1984,CIN,16,Pete Koch,NT,False,0,1,11,1,58,0,1,1,1,1,0
1984,LAR,17,Clyde Duncan,WR,False,0,0,0,0,19,0,1,1,1,1,0
1984,CLE,18,Don Rogers,DB,False,0,2,13,13,31,0,1,1,1,1,0
1984,IND,19,Ron Solt,G,False,1,8,43,27,116,0,0,0,0,0,1
1984,DET,20,David Lewis,TE,False,0,1,7,6,47,0,1,1,1,1,0
1984,KC,21,John Alt,T,False,2,10,68,68,179,0,0,0,0,0,1
1984,SEA,22,Terry Taylor,DB,False,0,7,40,23,149,0,1,0,0,0,0
1984,PIT,23,Louis Lipps,WR,False,2,7,54,54,110,0,0,0,0,0,1
1984,SF,24,Todd Shell,LB,False,0,1,12,12,38,0,1,1,1,1,0
1984,DAL,25,Billy Cannon,LB,False,0,0,1,1,8,0,1,1,1,1,0
1984,BUF,26,Greg Bell,RB,False,1,4,38,18,80,0,0,0,0,0,1
1984,NYG,27,William Roberts,G,False,1,11,65,55,195,0,0,0,0,0,1
1984,CIN,28,Brian Blados,T,False,0,4,35,34,107,0,1,0,0,0,0
1985,BUF,1,Bruce Smith,DE,True,11,18,152,144,279,0,0,0,0,0,1
1985,ATL,2,Bill Fralic,G,False,4,9,59,53,132,0,0,0,0,0,1
