season,week,game_id,team,opp,third_att,third_conv,fourth_att,fourth_conv,first_downs,penalties,penalty_yards,sacks_taken,sacks_made,explosive,rz_trips,rz_td,pass_att,completions,rush_yards,pass_yards
2016,6,2016_06_JAX_CHI,CHI,JAX,17,7,1,0,22,10,87,1,2,2,4,1,49,30,92,297
2016,6,2016_06_JAX_CHI,JAX,CHI,10,2,0,0,20,5,50,2,1,3,4,2,33,20,54,263
2016,6,2016_06_KC_OAK,KC,LV,13,7,0,0,22,2,10,1,2,5,6,3,23,19,183,223
2016,6,2016_06_KC_OAK,LV,KC,10,4,2,0,16,3,25,2,1,2,2,1,34,22,64,221
2016,6,2016_06_LA_DET,DET,LA,11,6,2,2,20,7,62,1,1,3,5,4,31,23,83,265
2016,6,2016_06_LA_DET,LA,DET,9,6,1,0,23,8,62,1,1,3,5,4,32,27,76,311
2016,6,2016_06_NYJ_ARI,ARI,NYJ,11,6,0,0,28,9,64,0,1,1,4,4,35,24,171,225
2016,6,2016_06_NYJ_ARI,NYJ,ARI,13,2,2,1,11,10,83,1,0,2,2,0,37,20,33,197
2016,6,2016_06_PHI_WAS,PHI,WAS,12,4,0,0,12,13,114,5,0,4,4,1,22,11,94,145
2016,6,2016_06_PHI_WAS,WAS,PHI,13,7,0,0,26,9,75,0,5,8,5,3,34,18,230,263
2016,6,2016_06_PIT_MIA,MIA,PIT,14,7,0,0,22,8,95,0,2,6,7,3,32,24,222,252
2016,6,2016_06_PIT_MIA,PIT,MIA,11,3,1,0,15,6,65,2,0,2,3,2,36,19,128,171
2016,6,2016_06_SF_BUF,BUF,SF,13,8,0,0,29,7,71,3,3,7,6,6,27,16,313,179
2016,6,2016_06_SF_BUF,SF,BUF,13,3,2,0,15,6,52,3,3,2,3,1,29,13,133,167
2016,7,2016_07_BAL_NYJ,BAL,NYJ,14,3,1,0,11,4,35,2,5,3,1,0,44,25,11,234
2016,7,2016_07_BAL_NYJ,NYJ,BAL,16,6,1,0,16,4,25,5,2,5,5,3,22,13,155,189
2016,7,2016_07_BUF_MIA,BUF,MIA,13,3,0,0,16,6,45,4,1,3,4,3,29,14,67,202
2016,7,2016_07_BUF_MIA,MIA,BUF,12,5,0,0,26,13,116,1,4,4,5,3,26,15,256,200
2016,7,2016_07_CHI_GB,CHI,GB,8,2,0,0,13,10,108,1,2,3,1,0,26,10,69,120
2016,7,2016_07_CHI_GB,GB,CHI,16,9,2,1,32,9,56,2,1,3,6,3,56,39,103,303
2016,7,2016_07_CLE_CIN,CIN,CLE,10,5,0,0,23,3,30,3,2,7,5,4,28,19,271,288
2016,7,2016_07_CLE_CIN,CLE,CIN,14,6,0,0,22,5,35,2,3,3,3,2,35,21,180,172
2016,7,2016_07_HOU_DEN,DEN,HOU,11,3,0,0,19,7,83,0,1,2,5,3,25,14,190,157
2016,7,2016_07_HOU_DEN,HOU,DEN,18,7,2,0,14,2,15,1,0,1,1,0,41,22,140,131
2016,7,2016_07_IND_TEN,IND,TEN,10,4,0,0,26,12,131,2,3,8,6,3,39,27,81,341
2016,7,2016_07_IND_TEN,TEN,IND,15,9,0,0,25,6,38,3,2,3,3,3,38,22,124,207
2016,7,2016_07_MIN_PHI,MIN,PHI,19,9,3,1,18,6,46,6,0,4,4,1,41,24,93,189
2016,7,2016_07_MIN_PHI,PHI,MIN,11,4,1,1,15,7,53,0,6,2,4,2,28,16,103,138
2016,7,2016_07_NE_PIT,NE,PIT,12,7,0,0,20,4,40,0,0,3,4,4,26,19,140,222
2016,7,2016_07_NE_PIT,PIT,NE,16,5,2,1,17,10,85,0,0,3,4,1,47,29,94,281
2016,7,2016_07_NO_KC,KC,NO,9,3,0,0,19,4,30,0,1,2,3,2,24,17,112,214
2016,7,2016_07_NO_KC,NO,KC,14,9,0,0,27,10,75,1,0,4,4,3,48,37,104,359
2016,7,2016_07_NYG_LA,LA,NYG,19,9,1,1,20,8,43,3,0,4,4,1,53,32,74,271
2016,7,2016_07_NYG_LA,NYG,LA,13,4,0,0,13,3,33,0,3,3,3,1,37,24,36,196
2016,7,2016_07_OAK_JAX,JAX,LV,13,4,0,0,18,12,97,1,0,5,5,1,43,23,105,239
2016,7,2016_07_OAK_JAX,LV,JAX,18,8,1,1,19,11,117,0,1,4,5,3,37,23,144,200
2016,7,2016_07_SD_ATL,ATL,LAC,12,6,1,0,21,9,70,3,4,4,5,2,34,22,130,256
2016,7,2016_07_SD_ATL,LAC,ATL,16,9,1,1,26,3,14,4,3,5,5,3,45,27,78,348
2016,7,2016_07_SEA_ARI,ARI,SEA,21,10,1,0,23,6,45,4,1,5,3,0,49,29,132,311
2016,7,2016_07_SEA_ARI,SEA,ARI,14,3,0,0,11,10,90,1,4,2,2,0,37,24,52,205
2016,7,2016_07_TB_SF,SF,TB,15,6,1,1,20,4,31,4,2,1,3,2,34,16,160,113
2016,7,2016_07_TB_SF,TB,SF,14,6,1,0,25,7,78,2,4,6,6,4,30,21,249,264
2016,7,2016_07_WAS_DET,DET,WAS,9,3,0,0,18,4,30,3,2,5,3,2,29,18,94,250
2016,7,2016_07_WAS_DET,WAS,DET,15,9,0,0,26,4,20,2,3,3,4,2,39,30,130,283
2016,8,2016_08_ARI_CAR,ARI,CAR,12,4,1,1,22,9,78,8,1,2,3,3,47,35,24,316
2016,8,2016_08_ARI_CAR,CAR,ARI,14,6,2,1,19,5,40,1,8,4,5,2,27,14,141,208
2016,8,2016_08_DET_HOU,DET,HOU,11,3,1,0,19,8,75,1,3,2,2,1,41,27,58,231
2016,8,2016_08_DET_HOU,HOU,DET,15,6,1,1,20,6,49,3,1,2,5,2,29,20,105,164
2016,8,2016_08_GB_ATL,ATL,GB,9,4,1,1,25,7,46,2,3,2,5,4,35,28,90,277
