season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0024334,B.Marshall,target,1,14.0,1.682,0
2015,00-0028064,B.Powell,target,1,12.0,0.6249,0
2015,00-0031023,Q.Enunwa,target,0,0.0,-0.4004,0
2015,00-0024334,B.Marshall,target,0,0.0,-3.3865,0
2015,00-0027864,R.Mathews,rush,1,-1.0,-0.6158,0
2015,00-0027864,R.Mathews,rush,1,6.0,0.1285,0
2015,00-0023564,D.Sproles,rush,1,-3.0,-1.3678,0
2015,00-0028064,B.Powell,target,1,13.0,0.5982,0
2015,00-0031023,Q.Enunwa,target,0,0.0,-0.3491,0
2015,00-0028064,B.Powell,target,0,0.0,-0.4848,0
2015,00-0028064,B.Powell,target,1,3.0,-1.1355,0
2015,00-0027864,R.Mathews,rush,1,2.0,-0.3697,0
2015,00-0027864,R.Mathews,rush,1,2.0,-0.0921,0
2015,00-0030496,L.Bell,target,1,10.0,0.6802,0
2015,00-0027793,A.Brown,target,1,7.0,0.3339,0
2015,00-0030460,M.Wheaton,target,1,12.0,1.0167,0
2015,00-0024242,De.Williams,rush,1,2.0,-0.4025,0
2015,00-0027793,A.Brown,target,1,6.0,0.1702,0
2015,00-0027793,A.Brown,target,1,8.0,1.4588,0
2015,00-0030496,L.Bell,rush,1,3.0,-0.1302,0
2015,00-0030496,L.Bell,rush,1,2.0,-0.4397,0
2015,00-0030496,L.Bell,target,1,20.0,2.0237,0
2015,00-0023465,H.Miller,target,1,8.0,0.7448,0
2015,00-0030496,L.Bell,target,0,0.0,-0.8578,0
2015,00-0030496,L.Bell,rush,1,-1.0,-2.0713,0
2015,00-0031391,T.Mason,rush,1,7.0,0.341,0
2015,00-0031391,T.Mason,target,1,15.0,1.9132,0
2015,00-0031391,T.Mason,rush,1,1.0,-0.4442,0
2015,00-0027985,L.Kendricks,target,1,7.0,0.286,0
2015,00-0027985,L.Kendricks,target,0,0.0,-1.8905,0
2015,00-0030496,L.Bell,rush,1,19.0,1.4017,0
2015,00-0026983,D.Heyward-Bey,target,1,6.0,0.2222,0
2015,00-0027793,A.Brown,target,1,19.0,1.4708,0
2015,00-0027793,A.Brown,target,1,16.0,1.2363,0
2015,00-0030496,L.Bell,rush,1,1.0,-0.4048,0
2015,00-0030496,L.Bell,rush,1,1.0,-0.6205,0
2015,00-0027793,A.Brown,target,1,15.0,2.1147,0
2015,00-0030496,L.Bell,target,1,9.0,0.7251,0
2015,00-0023465,H.Miller,target,0,0.0,-0.5558,0
2015,00-0030496,L.Bell,rush,1,2.0,0.8166,0
2015,00-0027793,A.Brown,target,1,-4.0,-1.0923,0
2015,00-0030496,L.Bell,rush,1,1.0,0.5627,0
2015,00-0032241,T.Gurley,rush,1,2.0,-0.5903,0
2015,00-0030525,T.Austin,target,1,12.0,1.351,0
