season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,4,2016_04_SEA_NYJ,SEA,NYJ,0,60,354.0,1845,0,27,17,1
2016,4,2016_04_TEN_HOU,HOU,TEN,1,62,359.0,1698,2,27,20,1
2016,4,2016_04_TEN_HOU,TEN,HOU,0,62,320.0,1902,1,20,27,0
2016,5,2016_05_ARI_SF,ARI,SF,0,66,288.0,1904,0,33,21,1
2016,5,2016_05_ARI_SF,SF,ARI,1,74,286.0,1696,3,21,33,0
2016,5,2016_05_ATL_DEN,ATL,DEN,0,62,372.0,1732,1,23,16,1
2016,5,2016_05_ATL_DEN,DEN,ATL,1,65,267.0,1868,1,16,23,0
2016,5,2016_05_BUF_LA,BUF,LA,0,52,305.0,1466,0,30,19,1
2016,5,2016_05_BUF_LA,LA,BUF,1,64,345.0,2134,3,19,30,0
2016,5,2016_05_CHI_IND,CHI,IND,0,62,522.0,1805,1,23,29,0
2016,5,2016_05_CHI_IND,IND,CHI,1,65,396.0,1795,0,29,23,1
2016,5,2016_05_CIN_DAL,CIN,DAL,0,64,345.0,1937,0,14,28,0
2016,5,2016_05_CIN_DAL,DAL,CIN,1,54,402.0,1663,1,28,14,1
2016,5,2016_05_HOU_MIN,HOU,MIN,0,60,214.0,1352,1,13,31,0
2016,5,2016_05_HOU_MIN,MIN,HOU,1,69,351.0,2248,0,31,13,1
2016,5,2016_05_NE_CLE,CLE,NE,1,60,262.0,1521,1,13,33,0
2016,5,2016_05_NE_CLE,NE,CLE,0,77,501.0,2079,0,33,13,1
2016,5,2016_05_NYG_GB,GB,NYG,1,77,406.0,2198,2,23,16,1
2016,5,2016_05_NYG_GB,NYG,GB,0,54,221.0,1402,1,16,23,0
2016,5,2016_05_NYJ_PIT,NYJ,PIT,0,58,316.0,1690,0,13,31,0
2016,5,2016_05_NYJ_PIT,PIT,NYJ,1,72,436.0,1910,1,31,13,1
2016,5,2016_05_PHI_DET,DET,PHI,1,56,244.0,1824,1,24,23,1
2016,5,2016_05_PHI_DET,PHI,DET,0,57,346.0,1776,2,23,24,0
2016,5,2016_05_SD_OAK,LAC,LV,0,51,423.0,1422,4,31,34,0
2016,5,2016_05_SD_OAK,LV,LAC,1,69,391.0,2178,1,34,31,1
2016,5,2016_05_TB_CAR,CAR,TB,1,53,414.0,1551,3,14,17,0
2016,5,2016_05_TB_CAR,TB,CAR,0,70,317.0,2049,1,17,14,1
2016,5,2016_05_TEN_MIA,MIA,TEN,1,41,200.0,1396,2,17,30,0
2016,5,2016_05_TEN_MIA,TEN,MIA,0,70,398.0,2204,0,30,17,1
2016,5,2016_05_WAS_BAL,BAL,WAS,1,69,306.0,1825,0,10,16,0
2016,5,2016_05_WAS_BAL,WAS,BAL,0,62,310.0,1775,3,16,10,1
2016,6,2016_06_ATL_SEA,ATL,SEA,0,64,362.0,1791,2,24,26,0
2016,6,2016_06_ATL_SEA,SEA,ATL,1,65,333.0,1809,0,26,24,1
